Plant_ID,Leaf_Number,Leaf_Type,Leaf_Attachment,Leaf_Petiole_Length_mm,Leaf_Petiole_Color,Leaf_Arrangement_Category,Leaf_Arrangement_Subcategory,Leaf_Length_cm,Leaf_Width_cm,Leaf_Shape,Leaf_Venation_Pattern,Leaf_Primary_Vein,Leaf_Secondary_Vein_Pairs,Leaf_Tertiary_Vein,Leaf_Apex,Leaf_Base,Leaf_Margin_Type,Leaf_Margin_Gap_Distance,Leaf_Surface,Leaf_Texture,Leaf_Color,Leaf_Stipules
CIW-L1-P1,1,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,6.3,3.2,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,2,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,8.9,2.9,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,3,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,9.0,3.0,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,4,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,8.9,2.9,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,5,Simple,Subpetiolate,0.2,Green,Alternate,Spiral,7.8,2.3,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,6,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,7.9,3.0,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,7,Simple,Subpetiolate,0.2,Green,Alternate,Spiral,8.9,2.3,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,8,Simple,Subpetiolate,0.2,Green,Alternate,Spiral,8.5,2.8,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,9,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,8.6,3.0,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P1,10,Simple,Subpetiolate,0.3,Green,Alternate,Spiral,8.5,2.7,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,1,Simple,Subpetiolate,1.0,Green,Alternate,Spiral,5.5,2.3,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,2,Simple,Subpetiolate,2.0,Green,Alternate,Spiral,4.8,2.6,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,3,Simple,Subpetiolate,2.0,Green,Alternate,Spiral,5.0,2.4,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,4,Simple,Subpetiolate,1.0,Green,Alternate,Spiral,4.9,2.4,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,5,Simple,Subpetiolate,1.0,Green,Alternate,Spiral,4.7,2.8,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,6,Simple,Subpetiolate,2.0,Green,Alternate,Spiral,4.9,2.2,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
CIW-L1-P2,7,Simple,Subpetiolate,1.0,Green,Alternate,Spiral,5.1,2.6,Obovate-elliptic,Eucamptodromous,1.0,8.0,Reticulate,Rounded-emarginated,Cuneate,Entire-crenate,,Glabrous,Semi-succulent,Green,Absent
