Plant_ID,Variant_Group,Location,Plant_Number_in_Group_Location,Root_Type,Root_Modification_Pneumatophores_type,Stem_Type,Stem_Height_m,Stem_Diameter_cm,Stem_Habit,Stem_Skin_Type,Stem_Skin_Characteristics,Stem_Skin_Depth,Stem_Bud_Scale_Type,Stem_Bud_Scale_Characteristics,Stem_Color_Main,Stem_Color_Shades_Variation,Stem_Modification,Fruit_Type,Fruit_Colour,Fruit_Shape,Fruit_Surface,Fruit_Texture,Fruit_Seed_per_Fruit,Fruit_Mode_of_Reproduction
CUL-L3-P1,Cultivated,"GNC, IIUM",1,Taproot,Stilt roots,Sympodial,,,Tree,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CUL-L3-P2,Cultivated,"GNC, IIUM",2,Taproot,Stilt roots,Sympodial,,,Tree,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CUL-L3-P3,Cultivated,"GNC, IIUM",3,Taproot,Stilt roots,Sympodial,,,Tree,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L1-P1,Cultivated-in-Wild,"Cherating, Pahang",1,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L1-P2,Cultivated-in-Wild,"Cherating, Pahang",2,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L1-P3,Cultivated-in-Wild,"Cherating, Pahang",3,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L4-P1,Cultivated-in-Wild,"Serambi Teruntum, Kuantan",1,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L4-P2,Cultivated-in-Wild,"Serambi Teruntum, Kuantan",2,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L4-P3,Cultivated-in-Wild,"Serambi Teruntum, Kuantan",3,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L5-P1,Cultivated-in-Wild,"Taman Kejiranan Taman Gelora, Kuantan",1,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L5-P2,Cultivated-in-Wild,"Taman Kejiranan Taman Gelora, Kuantan",2,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
CIW-L5-P3,Cultivated-in-Wild,"Taman Kejiranan Taman Gelora, Kuantan",3,Taproot,Stilt roots,Sympodial,,,Shrub,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
WLD-L2-P1,Wild,"Cherok Paloh, Pahang",1,Buttress,Knee roots,Sympodial,2.0,9.7,Tree,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
WLD-L2-P2,Wild,"Cherok Paloh, Pahang",2,Buttress,Knee roots,Sympodial,3.0,10.91,Tree,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
WLD-L2-P3,Wild,"Cherok Paloh, Pahang",3,Buttress,Knee roots,Sympodial,5.5,11.97,Tree,Fissure,Vertical,Shallow,Lateral bud,Alternate,Brown,Dark,Absent,Simple,Green,Vase-shaped,Glabrous,"Smooth, fleshy",1.0,Non-vivipary
